date,hour,staff_id,name,level,status,predicted_sales,pred_sale_per_hour,max_cost,salary
2026-01-02,9,1,福田 美加子,3,part-time,205241,10262.050000000001,2565,1350
2026-01-02,10,1,福田 美加子,3,part-time,205241,10262.050000000001,2565,1350
2026-01-02,11,1,福田 美加子,3,part-time,205241,30786.149999999998,7696,1350
2026-01-02,12,1,福田 美加子,3,part-time,205241,51310.25,12827,1350
2026-01-02,13,1,福田 美加子,3,part-time,205241,51310.25,12827,1350
2026-01-02,14,1,福田 美加子,3,part-time,205241,51310.25,12827,1350
2026-01-02,15,1,福田 美加子,3,part-time,205241,51310.25,12827,1350
2026-01-02,16,1,福田 美加子,3,part-time,205241,20524.100000000002,5131,1350
2026-01-02,17,1,福田 美加子,3,part-time,205241,20524.100000000002,5131,1350
2026-01-02,18,1,福田 美加子,3,part-time,205241,41048.200000000004,10262,1350
2026-01-02,19,1,福田 美加子,3,part-time,205241,41048.200000000004,10262,1350
2026-01-02,20,1,福田 美加子,3,part-time,205241,41048.200000000004,10262,1350
2026-01-02,21,1,福田 美加子,3,part-time,205241,30786.149999999998,7696,1350
2026-01-02,22,1,福田 美加子,3,part-time,205241,30786.149999999998,7696,1350
2026-01-02,23,1,福田 美加子,3,part-time,205241,20524.100000000002,5131,1350
2026-01-02,24,1,福田 美加子,3,part-time,205241,30786.149999999998,7696,1350
2026-01-03,9,1,福田 美加子,3,part-time,247286,12364.300000000001,3091,1350
2026-01-03,10,1,福田 美加子,3,part-time,247286,12364.300000000001,3091,1350
2026-01-03,11,1,福田 美加子,3,part-time,247286,37092.9,9273,1350
2026-01-03,12,1,福田 美加子,3,part-time,247286,61821.5,15455,1350
2026-01-03,13,1,福田 美加子,3,part-time,247286,61821.5,15455,1350
2026-01-03,14,1,福田 美加子,3,part-time,247286,61821.5,15455,1350
2026-01-03,15,1,福田 美加子,3,part-time,247286,61821.5,15455,1350
2026-01-03,16,1,福田 美加子,3,part-time,247286,24728.600000000002,6182,1350
2026-01-03,17,1,福田 美加子,3,part-time,247286,24728.600000000002,6182,1350
2026-01-03,18,1,福田 美加子,3,part-time,247286,49457.200000000004,12364,1350
2026-01-03,19,1,福田 美加子,3,part-time,247286,49457.200000000004,12364,1350
2026-01-03,20,1,福田 美加子,3,part-time,247286,49457.200000000004,12364,1350
2026-01-03,21,1,福田 美加子,3,part-time,247286,37092.9,9273,1350
2026-01-03,22,1,福田 美加子,3,part-time,247286,37092.9,9273,1350
2026-01-03,23,1,福田 美加子,3,part-time,247286,24728.600000000002,6182,1350
2026-01-03,24,1,福田 美加子,3,part-time,247286,37092.9,9273,1350
2026-01-04,9,1,福田 美加子,3,part-time,241840,12092.0,3023,1350
2026-01-04,10,1,福田 美加子,3,part-time,241840,12092.0,3023,1350
2026-01-04,11,1,福田 美加子,3,part-time,241840,36276.0,9069,1350
2026-01-04,12,1,福田 美加子,3,part-time,241840,60460.0,15115,1350
2026-01-04,13,1,福田 美加子,3,part-time,241840,60460.0,15115,1350
2026-01-04,14,1,福田 美加子,3,part-time,241840,60460.0,15115,1350
2026-01-04,15,1,福田 美加子,3,part-time,241840,60460.0,15115,1350
2026-01-04,16,1,福田 美加子,3,part-time,241840,24184.0,6046,1350
2026-01-04,17,1,福田 美加子,3,part-time,241840,24184.0,6046,1350
2026-01-04,18,1,福田 美加子,3,part-time,241840,48368.0,12092,1350
2026-01-04,19,1,福田 美加子,3,part-time,241840,48368.0,12092,1350
2026-01-04,20,1,福田 美加子,3,part-time,241840,48368.0,12092,1350
2026-01-04,21,1,福田 美加子,3,part-time,241840,36276.0,9069,1350
2026-01-04,22,1,福田 美加子,3,part-time,241840,36276.0,9069,1350
